Start Date,Overs,Mdns,Runs,Wkts
02-Jan-00,95.1,5,494,13
04-Jan-00,77.1,3,373,13
06-Jan-00,87.1,6,312,16
08-Jan-00,86.3,7,325,10
09-Jan-00,89,11,309,16
10-Jan-00,97.5,6,372,16
11-Jan-00,99.5,2,571,14
12-Jan-00,100,2,499,8
14-Jan-00,63.2,7,180,15
16-Jan-00,79.5,4,343,11
19-Jan-00,95,3,479,18
21-Jan-00,96.5,3,481,16
21-Jan-00,98,5,431,12
23-Jan-00,98.5,3,488,16
23-Jan-00,89.2,7,350,11
25-Jan-00,94.4,1,476,16
26-Jan-00,96.5,3,496,14
26-Jan-00,100,0,399,15
28-Jan-00,96,8,408,15
28-Jan-00,84.2,6,309,15
30-Jan-00,99.3,8,435,11
30-Jan-00,82.1,9,314,11
02-Feb-00,90,9,303,14
02-Feb-00,100,0,441,14
04-Feb-00,86.3,5,501,14
04-Feb-00,99.4,1,455,13
06-Feb-00,96,7,347,14
13-Feb-00,98,1,500,14
13-Feb-00,83,8,254,19
16-Feb-00,95.1,2,475,14
16-Feb-00,94.3,8,378,11
17-Feb-00,23,0,115,1
18-Feb-00,91.5,11,260,19
19-Feb-00,54.5,5,238,15
19-Feb-00,89.3,8,360,15
20-Feb-00,96.5,10,400,15
23-Feb-00,95,2,559,14
26-Feb-00,100,0,633,13
01-Mar-00,95.4,2,475,14
03-Mar-00,87.2,5,374,11
09-Mar-00,99.4,2,590,9
12-Mar-00,94.3,8,393,14
15-Mar-00,98,2,493,13
17-Mar-00,99.5,1,557,10
19-Mar-00,98.5,2,617,12
22-Mar-00,74.4,7,326,10
23-Mar-00,89,17,287,12
24-Mar-00,94.3,7,378,15
26-Mar-00,100,7,442,12
27-Mar-00,91.3,11,319,12
28-Mar-00,76.1,8,259,16
31-Mar-00,99,4,494,16
01-Apr-00,91.4,2,376,15
02-Apr-00,100,6,498,9
05-Apr-00,97.1,4,387,12
12-Apr-00,98,7,475,11
12-Apr-00,91.3,14,313,17
14-Apr-00,74.3,8,284,14
15-Apr-00,93.1,5,389,11
16-Apr-00,97.4,11,405,16
16-Apr-00,98.1,6,468,12
19-Apr-00,99.3,10,370,14
22-Apr-00,95,5,346,15
23-Apr-00,78.3,10,221,15
29-May-00,80.4,2,345,6
30-May-00,90.1,2,489,8
01-Jun-00,95,6,465,14
02-Jun-00,84.2,8,399,10
03-Jun-00,97.4,2,527,15
05-Jun-00,97.2,8,378,8
07-Jun-00,95.2,1,497,11
05-Jul-00,82.3,6,321,11
06-Jul-00,98.2,2,448,12
06-Jul-00,95,6,455,9
08-Jul-00,100,4,456,14
08-Jul-00,98.2,6,406,15
09-Jul-00,99.2,1,471,9
09-Jul-00,43.5,7,154,8
11-Jul-00,76.5,5,321,9
11-Jul-00,100,4,429,10
12-Jul-00,81.4,13,299,12
13-Jul-00,59.1,11,223,11
14-Jul-00,100,3,536,14
15-Jul-00,85.2,7,329,8
16-Jul-00,99.1,4,555,6
18-Jul-00,100,6,461,15
20-Jul-00,99.5,3,375,15
22-Jul-00,95.2,13,327,11
16-Aug-00,100,3,490,11
18-Aug-00,100,4,434,16
20-Aug-00,98,10,385,14
20-Aug-00,49.4,0,360,16
23-Aug-00,98.4,2,411,14
25-Aug-00,81.4,6,303,11
27-Aug-00,63.1,4,311,15
27-Sep-00,90.5,8,348,9
30-Sep-00,98.5,3,514,13
01-Oct-00,97.5,2,515,12
03-Oct-00,92.3,6,404,11
04-Oct-00,96.4,8,458,13
05-Oct-00,93.5,3,459,9
07-Oct-00,96.4,2,493,16
08-Oct-00,89,6,381,9
09-Oct-00,92.2,3,445,14
10-Oct-00,83.2,9,364,10
11-Oct-00,98.2,1,497,14
13-Oct-00,91,5,481,14
15-Oct-00,99.4,3,512,10
20-Oct-00,93.5,4,437,9
20-Oct-00,38,3,188,2
21-Oct-00,97,2,445,5
22-Oct-00,96.4,12,377,12
22-Oct-00,100,2,495,13
24-Oct-00,97.2,1,599,12
25-Oct-00,98.3,10,413,15
25-Oct-00,83.4,3,498,13
26-Oct-00,98.3,2,427,13
27-Oct-00,94.2,5,416,10
27-Oct-00,98.5,4,506,13
28-Oct-00,98.5,2,570,10
29-Oct-00,76.3,8,340,13
30-Oct-00,86.2,6,308,13
01-Nov-00,63.1,11,257,9
04-Nov-00,100,4,498,14
02-Dec-00,97.2,1,491,11
05-Dec-00,100,3,522,12
08-Dec-00,99.5,4,546,14
11-Dec-00,70.4,3,303,10
14-Dec-00,97.4,3,547,16
15-Dec-00,97.1,6,431,13
17-Dec-00,100,3,494,12
02-Jan-01,90,3,493,15
04-Jan-01,95.2,2,464,8
07-Jan-01,98.4,3,528,15
09-Jan-01,98.5,1,492,6
11-Jan-01,100,10,445,12
11-Jan-01,92.2,0,472,16
13-Jan-01,98.4,4,472,17
14-Jan-01,93.4,3,463,8
14-Jan-01,91.2,7,411,13
17-Jan-01,92.4,4,476,12
17-Jan-01,84,4,409,14
21-Jan-01,86.5,5,436,10
23-Jan-01,79.1,13,212,20
25-Jan-01,87.2,4,400,12
26-Jan-01,58,9,235,10
28-Jan-01,97.5,2,483,14
30-Jan-01,94,2,551,9
31-Jan-01,92.5,5,350,16
02-Feb-01,89.5,13,308,14
03-Feb-01,98.3,5,401,12
04-Feb-01,100,3,592,9
06-Feb-01,75.3,7,359,10
07-Feb-01,87.2,10,358,16
08-Feb-01,66,4,322,14
09-Feb-01,99.3,2,623,16
11-Feb-01,99.2,1,533,14
17-Feb-01,80.3,7,279,13
20-Feb-01,80.3,6,258,12
22-Feb-01,98.2,4,428,18
25-Feb-01,97,3,421,14
28-Feb-01,97.4,1,564,15
23-Mar-01,89.4,9,275,14
25-Mar-01,95,8,370,14
25-Mar-01,93.2,0,567,18
27-Mar-01,83.5,8,325,9
28-Mar-01,95.1,3,481,7
31-Mar-01,85.5,2,469,15
03-Apr-01,95,2,574,14
06-Apr-01,98,3,518,11
07-Apr-01,93.1,11,296,10
08-Apr-01,80.4,6,322,16
08-Apr-01,98.3,3,485,18
10-Apr-01,92.1,2,427,16
11-Apr-01,100,1,569,10
12-Apr-01,92.1,2,516,9
13-Apr-01,100,1,511,13
15-Apr-01,56.5,5,248,11
17-Apr-01,100,4,412,12
20-Apr-01,91.4,4,508,15
28-Apr-01,97.4,7,391,15
02-May-01,95.5,5,434,7
05-May-01,89,3,435,11
06-May-01,95.4,9,394,12
09-May-01,91,6,396,11
12-May-01,96.5,9,316,19
16-May-01,94.2,7,316,10
07-Jun-01,97.2,5,420,14
09-Jun-01,95.3,5,503,11
10-Jun-01,99.3,5,525,7
12-Jun-01,100,4,475,15
14-Jun-01,80.4,13,291,17
17-Jun-01,85.1,10,303,13
19-Jun-01,96.3,5,535,17
21-Jun-01,73.3,10,352,11
23-Jun-01,100,4,492,12
23-Jun-01,69,4,302,9
24-Jun-01,68.1,8,260,10
27-Jun-01,99.2,2,463,12
30-Jun-01,93.5,11,325,11
01-Jul-01,99.5,3,495,9
04-Jul-01,98.1,10,458,8
07-Jul-01,100,7,558,14
18-Jul-01,97.5,5,406,16
20-Jul-01,91.1,7,329,16
22-Jul-01,100,4,428,15
25-Jul-01,98.3,4,456,11
26-Jul-01,86.2,5,332,17
28-Jul-01,92.3,7,352,12
31-Jul-01,72,7,315,12
01-Aug-01,95.5,6,391,16
02-Aug-01,95.4,4,510,10
05-Aug-01,97.2,6,455,13
15-Aug-01,99.3,11,498,12
18-Aug-01,95,6,375,14
19-Aug-01,97.1,5,452,10
23-Sep-01,100,1,566,6
29-Sep-01,90.1,5,381,15
30-Sep-01,91,13,364,9
03-Oct-01,95.5,7,406,15
05-Oct-01,98.2,1,547,9
06-Oct-01,86.4,4,385,12
07-Oct-01,97.3,2,518,12
07-Oct-01,83.4,8,314,10
10-Oct-01,94.3,1,478,17
10-Oct-01,95.1,2,417,20
12-Oct-01,48.4,9,178,10
13-Oct-01,93.1,3,439,12
14-Oct-01,91.1,5,449,8
17-Oct-01,96.4,12,415,16
19-Oct-01,94.4,1,514,10
22-Oct-01,95.3,4,488,13
24-Oct-01,100,6,496,7
26-Oct-01,100,5,437,13
26-Oct-01,90.3,4,362,13
27-Oct-01,84.3,5,344,12
28-Oct-01,89.1,5,440,13
30-Oct-01,99.4,3,413,16
